tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(2, 2, 0, 0)",0.88,conv2.weight,0.15579249,-0.1557924896478653,0,0.87,-0.010000000000000009,rwg
"(2, 2, 0, 1)",0.86,conv2.weight,-0.4190842,0.41908419132232666,0,0.87,0.010000000000000009,rwg
"(2, 2, 0, 2)",0.87,conv2.weight,0.03882954,-0.038829538971185684,0,0.87,0.0,rwg
"(2, 2, 1, 0)",0.87,conv2.weight,-0.4207926,0.4207926094532013,0,0.87,0.0,rwg
"(2, 2, 1, 1)",0.87,conv2.weight,0.027782407,-0.02778240665793419,0,0.87,0.0,rwg
"(2, 2, 1, 2)",0.87,conv2.weight,0.07232014,-0.07232014089822769,0,0.87,0.0,rwg
"(2, 2, 2, 0)",0.88,conv2.weight,0.29638988,-0.2963898777961731,0,0.87,-0.010000000000000009,rwg
"(2, 2, 2, 1)",0.88,conv2.weight,-0.44733158,0.44733157753944397,0,0.87,-0.010000000000000009,rwg
"(2, 2, 2, 2)",0.87,conv2.weight,-0.113795616,0.11379561573266983,0,0.87,0.0,rwg
"(2, 3, 0, 0)",0.87,conv2.weight,0.018939205,-0.018939204514026642,0,0.87,0.0,rwg
"(2, 3, 0, 1)",0.89,conv2.weight,0.5909174,-0.5909174084663391,0,0.87,-0.020000000000000018,rwg
"(2, 3, 0, 2)",0.88,conv2.weight,-0.34621477,0.34621477127075195,0,0.87,-0.010000000000000009,rwg
"(2, 3, 1, 0)",0.89,conv2.weight,0.66563475,-0.6656347513198853,0,0.87,-0.020000000000000018,rwg
"(2, 3, 1, 1)",0.87,conv2.weight,-0.008332597,0.008332597091794014,0,0.87,0.0,rwg
"(2, 3, 1, 2)",0.87,conv2.weight,0.10649761,-0.10649760812520981,0,0.87,0.0,rwg
"(2, 3, 2, 0)",0.88,conv2.weight,-1.6559421,1.6559420824050903,0,0.87,-0.010000000000000009,rwg
"(2, 3, 2, 1)",0.91,conv2.weight,-1.0847526,1.0847525596618652,0,0.87,-0.040000000000000036,rwg
"(2, 3, 2, 2)",0.88,conv2.weight,-0.45252195,0.452521950006485,0,0.87,-0.010000000000000009,rwg
"(3, 0, 0, 0)",0.87,conv2.weight,-0.85185456,0.8518545627593994,0,0.87,0.0,rwg
"(3, 0, 0, 1)",0.87,conv2.weight,0.29887655,-0.29887655377388,0,0.87,0.0,rwg
"(3, 0, 0, 2)",0.87,conv2.weight,0.16490187,-0.16490186750888824,0,0.87,0.0,rwg
"(3, 0, 1, 0)",0.86,conv2.weight,-1.5784291,1.578429102897644,0,0.87,0.010000000000000009,rwg
"(3, 0, 1, 1)",0.86,conv2.weight,-0.25330147,0.2533014714717865,0,0.87,0.010000000000000009,rwg
"(3, 0, 1, 2)",0.89,conv2.weight,0.38154778,-0.3815477788448334,0,0.87,-0.020000000000000018,rwg
"(3, 0, 2, 0)",0.88,conv2.weight,-0.8881031,0.8881031274795532,0,0.87,-0.010000000000000009,rwg
"(3, 0, 2, 1)",0.86,conv2.weight,-0.2992241,0.2992241084575653,0,0.87,0.010000000000000009,rwg
"(3, 0, 2, 2)",0.87,conv2.weight,0.38609555,-0.3860955536365509,0,0.87,0.0,rwg
"(3, 1, 0, 0)",0.88,conv2.weight,0.2826178,-0.28261780738830566,0,0.87,-0.010000000000000009,rwg
"(3, 1, 0, 1)",0.88,conv2.weight,0.3097171,-0.3097170889377594,0,0.87,-0.010000000000000009,rwg
"(3, 1, 0, 2)",0.87,conv2.weight,-0.262854,0.2628540098667145,0,0.87,0.0,rwg
"(3, 1, 1, 0)",0.87,conv2.weight,0.08612121,-0.08612120896577835,0,0.87,0.0,rwg
"(3, 1, 1, 1)",0.87,conv2.weight,-0.28970054,0.28970053791999817,0,0.87,0.0,rwg
"(3, 1, 1, 2)",0.88,conv2.weight,-0.43642193,0.4364219307899475,0,0.87,-0.010000000000000009,rwg
"(3, 1, 2, 0)",0.86,conv2.weight,-0.049176145,0.04917614534497261,0,0.87,0.010000000000000009,rwg
"(3, 1, 2, 1)",0.87,conv2.weight,-0.6716443,0.6716442704200745,0,0.87,0.0,rwg
"(3, 1, 2, 2)",0.88,conv2.weight,-0.27205262,0.2720526158809662,0,0.87,-0.010000000000000009,rwg
"(3, 2, 0, 0)",0.87,conv2.weight,-0.46963426,0.4696342647075653,0,0.87,0.0,rwg
"(3, 2, 0, 1)",0.87,conv2.weight,0.18271397,-0.18271397054195404,0,0.87,0.0,rwg
"(3, 2, 0, 2)",0.89,conv2.weight,0.49119708,-0.4911970794200897,0,0.87,-0.020000000000000018,rwg
"(3, 2, 1, 0)",0.87,conv2.weight,-1.0708277,1.0708277225494385,0,0.87,0.0,rwg
"(3, 2, 1, 1)",0.89,conv2.weight,0.4118987,-0.4118987023830414,0,0.87,-0.020000000000000018,rwg
"(3, 2, 1, 2)",0.88,conv2.weight,0.21342163,-0.21342162787914276,0,0.87,-0.010000000000000009,rwg
"(3, 2, 2, 0)",0.87,conv2.weight,0.19703907,-0.19703906774520874,0,0.87,0.0,rwg
"(3, 2, 2, 1)",0.86,conv2.weight,-0.07832886,0.07832886278629303,0,0.87,0.010000000000000009,rwg
"(3, 2, 2, 2)",0.86,conv2.weight,-0.08990247,0.08990246802568436,0,0.87,0.010000000000000009,rwg
"(3, 3, 0, 0)",0.89,conv2.weight,0.75106376,-0.7510637640953064,0,0.87,-0.020000000000000018,rwg
"(3, 3, 0, 1)",0.88,conv2.weight,0.35391483,-0.3539148271083832,0,0.87,-0.010000000000000009,rwg
"(3, 3, 0, 2)",0.88,conv2.weight,0.35198453,-0.35198453068733215,0,0.87,-0.010000000000000009,rwg
"(3, 3, 1, 0)",0.88,conv2.weight,0.12572159,-0.12572158873081207,0,0.87,-0.010000000000000009,rwg
"(3, 3, 1, 1)",0.88,conv2.weight,0.21104921,-0.21104921400547028,0,0.87,-0.010000000000000009,rwg
"(3, 3, 1, 2)",0.86,conv2.weight,-0.11346686,0.11346685886383057,0,0.87,0.010000000000000009,rwg
"(3, 3, 2, 0)",0.86,conv2.weight,-0.04385622,0.043856218457221985,0,0.87,0.010000000000000009,rwg
"(3, 3, 2, 1)",0.87,conv2.weight,-0.015487135,0.015487135387957096,0,0.87,0.0,rwg
"(3, 3, 2, 2)",0.88,conv2.weight,-0.30658716,0.3065871596336365,0,0.87,-0.010000000000000009,rwg
"(4, 0, 0, 0)",0.88,conv2.weight,-0.4782182,0.4782181978225708,0,0.87,-0.010000000000000009,rwg
"(4, 0, 0, 1)",0.87,conv2.weight,0.26929948,-0.2692994773387909,0,0.87,0.0,rwg
"(4, 0, 0, 2)",0.88,conv2.weight,0.8593283,-0.8593283295631409,0,0.87,-0.010000000000000009,rwg
"(4, 0, 1, 0)",0.86,conv2.weight,0.3957967,-0.39579668641090393,0,0.87,0.010000000000000009,rwg
"(4, 0, 1, 1)",0.86,conv2.weight,0.5402976,-0.5402976274490356,0,0.87,0.010000000000000009,rwg
"(4, 0, 1, 2)",0.87,conv2.weight,-0.63336116,0.6333611607551575,0,0.87,0.0,rwg
"(4, 0, 2, 0)",0.88,conv2.weight,-0.20899129,0.20899128913879395,0,0.87,-0.010000000000000009,rwg
"(4, 0, 2, 1)",0.88,conv2.weight,-0.47822934,0.4782293438911438,0,0.87,-0.010000000000000009,rwg
"(4, 0, 2, 2)",0.87,conv2.weight,-0.8655578,0.8655577898025513,0,0.87,0.0,rwg
"(4, 1, 0, 0)",0.87,conv2.weight,0.45571357,-0.45571357011795044,0,0.87,0.0,rwg
"(4, 1, 0, 1)",0.87,conv2.weight,0.25334203,-0.25334203243255615,0,0.87,0.0,rwg
"(4, 1, 0, 2)",0.88,conv2.weight,-0.65841573,0.6584157347679138,0,0.87,-0.010000000000000009,rwg
"(4, 1, 1, 0)",0.88,conv2.weight,-0.48091507,0.4809150695800781,0,0.87,-0.010000000000000009,rwg
"(4, 1, 1, 1)",0.89,conv2.weight,-0.78240734,0.7824073433876038,0,0.87,-0.020000000000000018,rwg
"(4, 1, 1, 2)",0.88,conv2.weight,0.28141695,-0.28141695261001587,0,0.87,-0.010000000000000009,rwg
"(4, 1, 2, 0)",0.87,conv2.weight,0.68272036,-0.6827203631401062,0,0.87,0.0,rwg
"(4, 1, 2, 1)",0.86,conv2.weight,0.759519,-0.7595189809799194,0,0.87,0.010000000000000009,rwg
"(4, 1, 2, 2)",0.86,conv2.weight,0.32531568,-0.3253156840801239,0,0.87,0.010000000000000009,rwg
"(4, 2, 0, 0)",0.88,conv2.weight,-0.48744848,0.48744848370552063,0,0.87,-0.010000000000000009,rwg
"(4, 2, 0, 1)",0.88,conv2.weight,-0.40595868,0.4059586822986603,0,0.87,-0.010000000000000009,rwg
"(4, 2, 0, 2)",0.87,conv2.weight,0.07793318,-0.0779331773519516,0,0.87,0.0,rwg
"(4, 2, 1, 0)",0.87,conv2.weight,0.72193205,-0.721932053565979,0,0.87,0.0,rwg
"(4, 2, 1, 1)",0.87,conv2.weight,0.41952994,-0.4195299446582794,0,0.87,0.0,rwg
"(4, 2, 1, 2)",0.87,conv2.weight,-1.2483349,1.2483348846435547,0,0.87,0.0,rwg
"(4, 2, 2, 0)",0.89,conv2.weight,-0.37271735,0.37271735072135925,0,0.87,-0.020000000000000018,rwg
"(4, 2, 2, 1)",0.88,conv2.weight,-0.33469135,0.3346913456916809,0,0.87,-0.010000000000000009,rwg
"(4, 2, 2, 2)",0.9,conv2.weight,-0.52635056,0.5263505578041077,0,0.87,-0.030000000000000027,rwg
"(4, 3, 0, 0)",0.87,conv2.weight,0.25000075,-0.2500007450580597,0,0.87,0.0,rwg
"(4, 3, 0, 1)",0.87,conv2.weight,0.043191522,-0.04319152235984802,0,0.87,0.0,rwg
"(4, 3, 0, 2)",0.88,conv2.weight,-0.68922377,0.6892237663269043,0,0.87,-0.010000000000000009,rwg
"(4, 3, 1, 0)",0.88,conv2.weight,0.13835123,-0.1383512318134308,0,0.87,-0.010000000000000009,rwg
"(4, 3, 1, 1)",0.88,conv2.weight,-0.082679525,0.08267952501773834,0,0.87,-0.010000000000000009,rwg
"(4, 3, 1, 2)",0.87,conv2.weight,-0.19711207,0.1971120685338974,0,0.87,0.0,rwg
"(4, 3, 2, 0)",0.88,conv2.weight,0.2092436,-0.20924359560012817,0,0.87,-0.010000000000000009,rwg
"(4, 3, 2, 1)",0.87,conv2.weight,-0.28731677,0.28731676936149597,0,0.87,0.0,rwg
"(4, 3, 2, 2)",0.87,conv2.weight,0.38262072,-0.3826207220554352,0,0.87,0.0,rwg
"(5, 0, 0, 0)",0.87,conv2.weight,0.49138096,-0.4913809597492218,0,0.87,0.0,rwg
"(5, 0, 0, 1)",0.87,conv2.weight,0.20520012,-0.20520012080669403,0,0.87,0.0,rwg
"(5, 0, 0, 2)",0.87,conv2.weight,0.028919533,-0.028919532895088196,0,0.87,0.0,rwg
"(5, 0, 1, 0)",0.88,conv2.weight,-0.12071668,0.12071668356657028,0,0.87,-0.010000000000000009,rwg
"(5, 0, 1, 1)",0.86,conv2.weight,-0.44880086,0.44880086183547974,0,0.87,0.010000000000000009,rwg
"(5, 0, 1, 2)",0.86,conv2.weight,-0.034662005,0.03466200456023216,0,0.87,0.010000000000000009,rwg
"(5, 0, 2, 0)",0.86,conv2.weight,0.3968536,-0.39685359597206116,0,0.87,0.010000000000000009,rwg
"(5, 0, 2, 1)",0.87,conv2.weight,0.107548326,-0.10754832625389099,0,0.87,0.0,rwg
"(5, 0, 2, 2)",0.87,conv2.weight,0.16599402,-0.16599401831626892,0,0.87,0.0,rwg
"(5, 1, 0, 0)",0.87,conv2.weight,-1.2346159,1.2346159219741821,0,0.87,0.0,rwg
"(5, 1, 0, 1)",0.87,conv2.weight,-0.10586992,0.10586991906166077,0,0.87,0.0,rwg
"(5, 1, 0, 2)",0.87,conv2.weight,0.1257411,-0.12574109435081482,0,0.87,0.0,rwg
"(5, 1, 1, 0)",0.77,conv2.weight,-2.1587577,2.1587576866149902,0,0.87,0.09999999999999998,rwg
"(5, 1, 1, 1)",0.87,conv2.weight,-0.20348252,0.203482523560524,0,0.87,0.0,rwg
"(5, 1, 1, 2)",0.87,conv2.weight,0.14773926,-0.1477392613887787,0,0.87,0.0,rwg
"(5, 1, 2, 0)",0.81,conv2.weight,-1.5957949,1.595794916152954,0,0.87,0.05999999999999994,rwg
"(5, 1, 2, 1)",0.88,conv2.weight,0.2325376,-0.23253759741783142,0,0.87,-0.010000000000000009,rwg
