tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(2, 1, 2, 1)",0.96,conv2.weight,0.32198286,-0.32198286056518555,0,0.98,0.020000000000000018,relu
"(2, 1, 2, 2)",0.98,conv2.weight,0.156529,-0.1565289944410324,0,0.98,0.0,relu
"(2, 2, 0, 0)",0.98,conv2.weight,-0.23902641,0.23902641236782074,0,0.98,0.0,relu
"(2, 2, 0, 1)",0.97,conv2.weight,-0.24793956,0.2479395568370819,0,0.98,0.010000000000000009,relu
"(2, 2, 0, 2)",0.96,conv2.weight,0.30731162,-0.30731162428855896,0,0.98,0.020000000000000018,relu
"(2, 2, 1, 0)",0.97,conv2.weight,-0.32561755,0.32561755180358887,0,0.98,0.010000000000000009,relu
"(2, 2, 1, 1)",0.97,conv2.weight,0.2879872,-0.28798720240592957,0,0.98,0.010000000000000009,relu
"(2, 2, 1, 2)",0.97,conv2.weight,0.2843488,-0.2843487858772278,0,0.98,0.010000000000000009,relu
"(2, 2, 2, 0)",0.97,conv2.weight,0.5149472,-0.5149471759796143,0,0.98,0.010000000000000009,relu
"(2, 2, 2, 1)",0.98,conv2.weight,0.11448784,-0.11448784172534943,0,0.98,0.0,relu
"(2, 2, 2, 2)",0.97,conv2.weight,-0.10910881,0.1091088131070137,0,0.98,0.010000000000000009,relu
"(2, 3, 0, 0)",0.96,conv2.weight,-0.1500033,0.15000329911708832,0,0.98,0.020000000000000018,relu
"(2, 3, 0, 1)",0.97,conv2.weight,0.109513834,-0.10951383411884308,0,0.98,0.010000000000000009,relu
"(2, 3, 0, 2)",0.97,conv2.weight,0.08684201,-0.08684200793504715,0,0.98,0.010000000000000009,relu
"(2, 3, 1, 0)",0.96,conv2.weight,0.20311002,-0.20311002433300018,0,0.98,0.020000000000000018,relu
"(2, 3, 1, 1)",0.98,conv2.weight,0.061026894,-0.06102689355611801,0,0.98,0.0,relu
"(2, 3, 1, 2)",0.96,conv2.weight,-0.12988476,0.1298847645521164,0,0.98,0.020000000000000018,relu
"(2, 3, 2, 0)",0.98,conv2.weight,0.0725793,-0.07257930189371109,0,0.98,0.0,relu
"(2, 3, 2, 1)",0.98,conv2.weight,-0.017410314,0.017410313710570335,0,0.98,0.0,relu
"(2, 3, 2, 2)",0.94,conv2.weight,-0.31282052,0.31282052397727966,0,0.98,0.040000000000000036,relu
